poiId,poiName
28527,물금역
7844170,국립세종수목원
737569,홈플러스울산남구점
403171,소노펠리체CC델피노
5841858,롯데아울렛구리점
1568229,이마트보라점
1555889,센트럴파크
216344,청량리역
219977,올림픽CC
427600,중문관광단지
532463,롯데마트충주점
367219,한림공원
5987398,아세코밸리골프클럽
1698138,양산CC
1124409,오션비치골프&리조트
215494,매헌시민의숲
373738,청도프로방스
1921919,마산어시장
10091188,리빙파워센터
529636,부산어린이대공원
1562559,롯데마트당진점
968232,경상남도수목원
1181702,롯데마트여수점
375339,무안CC
310893,동부산CC
1194902,홈플러스거제점
1605847,푸른솔GC
1129510,태화강국가정원
17543,대구백화점프라자점
7958180,트리플스트리트D동
1019698,보라CC
7837319,롯데몰군산점
380233,관문체육공원
391951,목포북항
1522830,아델스코트CC
566700,메가마트남천점
1185742,롯데마트월드컵점
1695714,포웰CC
1154221,클럽디금강
1089876,수원체력단련장
193160,동구릉
551562,르네시떼
2997829,원마운트워터파크
128792,국립중앙과학관
1698143,베이사이드GC
6431091,더타운몰킨텍스점
2269410,영목항
1606204,해슬리나인브릿지
1698124,고성노벨CC
8908671,레이캐슬CC
4085957,남양주한강공원삼패지구
1147138,뉴코아아울렛평촌점
6921438,롯데몰진주점
2337015,롯데마트마석점
1127464,한밭수목원
525014,NC백화점수원터미널점
1583062,화성GC
7400786,라비에벨CC듄스코스
353530,도고CC
242968,김해여객터미널
2003266,오션힐스영천CC
531909,NC웨이브충장점
2713550,메이플비치CC
289825,동해항
139656,소래포구재래어시장
137250,광주양동시장
1168111,골프존카운티감포
567319,독산동우시장
523537,아시아드컨트리클럽
8876371,마산로봇랜드
1170910,NC백화점해운대점
1617737,서경타니CC
1172628,용인농촌테마파크
221197,그랜드백화점일산점
381680,일산시장
427900,돌산공원
1456159,홈플러스진주점
146247,동아백화점수성점
1497691,인터불고경산CC
1794109,서서울호수공원
2906588,홈플러스인천연수점
1866694,롯데마트춘천점
2341394,사우스케이프오너스클럽
5799917,해운대비치골프앤리조트
10133805,NC백화점신구로점
269984,김제역
2241322,롯데마트청량리점
2573222,롯데마트부산점
2801942,홈플러스부산연산점
571870,울산고속버스터미널
737872,북촌한옥마을
5753851,인천신항
718721,홈플러스청주성안점
559264,스포원파크
540902,안양중앙시장
568307,롯데마트상당점
1936305,롯데아울렛대구율하점
2878688,세종필드GC
1100008,서부농수산물도매시장
1517412,골프존카운티순천
7633793,십리대숲(은하수길)태화강국가정원
380582,수유시장
2865104,단양다누리센터아쿠아리움
310891,대구CC
8896825,9.81파크
1142336,하이원CC
1816733,홈플러스진접점
2742883,석정힐CC
2633186,더라움
146884,달성공원
215643,한가람미술관
1167998,홈플러스안산선부점
1069657,롯데영플라자명동점
2588210,영화의전당
366444,하나병원
505480,연지공원
5390177,청와대사랑채
1172434,롯데마트진장점
8375388,아난티코브
1698122,구니CC
2775871,엠스클럽의성CC
374570,분당중앙공원
1103531,골프존카운티선운
2930034,롯데마트영통점
2634090,고양체육관
535446,중앙탑공원
1442822,백운포체육공원
1976294,골프존카운티무주
367553,현대백화점울산동구점
1023944,에덴밸리CC
195267,하니랜드
382094,평촌중앙공원
1528370,웨스트오션컨트리클럽
135037,엑스포코아
399730,홈플러스울산북구점
1146570,개화예술공원
219147,덕수궁
1008580,미조항
2269592,드비치골프클럽
427372,문수월드컵경기장
550399,소래습지생태공원
2810200,NC백화점부산대점
1040211,월드컵공원
1524572,파주J퍼블릭GC
270257,학원농장
2457658,구미CC
1928656,솔찬공원
2506499,신북온천스프링폴
1217051,롯데마트장암점
558148,한림안성CC
1696206,포스코타워송도
1155595,스톤비치CC
1575452,한맥CC
310889,파미힐스CC
1124414,오션힐스포항CC
2758588,파나시아GC
2856210,골프존카운티드래곤
7385953,롯데아울렛남악점
1501152,홈플러스논산점
1123032,블루원디아너스CC
392175,권선11번가시장
378559,롯데마트사하점
1698116,세븐밸리CC
5386710,장수골프리조트
393983,고현종합시장
8947529,유월드루지테마파크
